correction_id,unit_id,source_location,severity,source_text,target_correction,rationale,status
O005-CORR-0011,O005-LEGA-V101-CH03,"record 38, eigenvalue classification near damped equilibria",P2,"The repeated-root boundary is not identified separately as the critically damped stable-node case.","The target and mastery layer classify alpha squared equal to 4 as a critically damped stable node.","The repeated negative eigenvalue is the transition between spiral and distinct-real stable nodes.",clarified_in_translation
O005-CORR-0012,O005-LEGA-V101-CH03,"record 38, stable and unstable separatrix wording",P3,"Trajectories are described as emanating from or converging to saddles without distinguishing the orbit from its limiting endpoint.","The target places saddle endpoints in the closure of the stable or unstable branch.","A non-equilibrium orbit approaches an equilibrium asymptotically; the equilibrium is not traversed at finite time.",clarified_in_translation
O005-CORR-0013,O005-LEGA-V101-CH03,"record 38, Problem 1",P2,"The two harmonic-solution parameterizations are mislabeled when the problem asks for constants and initial conditions.","The target consistently asks first for C and phi and then for A and B in the corresponding forms.","The labels must match Equations 3.11 and 3.12.",corrected_in_translation
O005-CORR-0014,O005-LEGA-V101-CH03,"record 38, Problem 11",P3,"The oscillator parameter omega is not explicitly restricted even though the requested frequency interpretation assumes it is positive.","The target states omega greater than zero.","This removes a sign ambiguity without changing the intended oscillator family.",clarified_in_translation
O005-CORR-0015,O005-LEGA-V101-CH03,"record 38, Problem 12 scaling claim",P2,"The prompt suggests that both parameters can be normalized without preserving zero and sign cases.","The target separates zero cases and states that positive scalings normalize magnitudes while parameter signs remain invariant.","Real positive changes of scale cannot change a coefficient's sign or turn zero into a nonzero value.",corrected_in_translation
O005-CORR-0016,O005-LEGA-V101-CH03,"record 38, Problems 14 and 18",P2,"The interval notation and extrema language assume ordered endpoints and attained bounds without stating the needed hypotheses.","Problem 14 uses min/max to order interval endpoints; Problem 18 uses infimum/supremum where extrema need not be attained.","These forms are valid for all parameter orderings and bounded-set cases posed by the exercises.",corrected_in_translation
O005-CORR-0017,O005-LEGA-V101-CH03,"record 38, Maple/MATLAB/PPLANE computation surfaces",P2,"The chapter relies on proprietary or externally hosted phase-plane software whose source is not part of the admitted reader closure.","A new offline NumPy/SciPy/Matplotlib notebook independently implements the stated systems, phase portraits, and numerical energy checks.","This restores the computational activity without copying unavailable or proprietary code.",resolved_by_open_reimplementation
O005-CORR-0018,O005-LEGA-V101-CH04,"record 39, Navier-Stokes equation",P2,"The Eulerian fluid equation writes dV/dt next to the convective derivative.","The target writes the local term as partial V/partial t.","Using a material derivative here would double-count convection; the Eulerian Navier-Stokes form uses a partial time derivative plus (V dot nabla)V.",corrected_in_translation
O005-CORR-0019,O005-LEGA-V101-CH04,"record 39, Equations 4.5-4.7 and rigid-body prose",P1,"Equation 4.5 differentiates omega_y in the -y component and uses I_t in the p component; Equation 4.7 omits the array column specification; nearby prose mixes y and -y conventions.","The target uses omega_-y and I_p, restores the two-column array specification, identifies p with the in-plane tangent t, and uses the -y component consistently.","Euler components and principal moments must share the same indexed axes, and the published TeX array is otherwise malformed.",corrected_in_translation
O005-CORR-0020,O005-LEGA-V101-CH04,"record 39, free-flight angular solutions",P1,"Both displayed theta(t) solutions omit an integration constant; the nonzero-spin expression therefore fails theta(0) at t=0.","The zero-spin solution includes theta(0); the spinning solution uses omega_-y(0) sin(delta t)/delta + omega_p(0)(1-cos(delta t))/delta.","Direct integration of the displayed omega_-y(t) requires these constants and satisfies the initial condition exactly.",corrected_in_translation
O005-CORR-0021,O005-LEGA-V101-CH04,"record 39, free-flight duration and potential definition",P2,"The positive free-flight root is stated without v_z(0)>0 and U(z) is defined by integrating undefined F(s) instead of script F(s).","The target states v_z(0)>0 and defines U using the force function script F consistently.","The nonzero return time is positive only after upward takeoff; the potential derivative must match Equation 4.11's named force function.",corrected_in_translation
O005-CORR-0022,O005-LEGA-V101-CH04,"record 39, summary",P2,"The optimal angle uses 20^o and the final sentence invokes undefined C_n although the model defines C_l and C_f.","The target uses 20 degrees and C_f.","The degree command is typographically correct and the intended friction coefficient is the one used throughout Equations 4.2 and 4.10.",corrected_in_translation
O005-CORR-0023,O005-LEGA-V101-CH04,"record 39, Problems 1-3",P2,"Problem 1 lists y instead of -y; Problem 2 omits its initial conditions and partial-immersion domain; Problem 3 omits the geometric, kinematic, and positivity assumptions needed for the stated bound.","The target uses axes (-y,n,p), supplies z(0)=0 and zdot(0)=v_z(0)<0 on -a sin(theta)<=z<=0, and states the thin-stone immersion threshold, incidence relation, C>0, and positive-denominator domain.","These conditions follow the chapter's own coordinate convention and are required for the exercise derivations to be determinate and physically admissible.",clarified_in_translation
O005-CORR-0024,O005-LEGA-V101-CH04,"record 39, Problem 4 and cited Bocquet Equation 20",P1,"The printed restoring coefficient lacks both Omega_0 squared and the squared inertia ratio, and the torque is described on +y despite the chapter's -y Euler component.","The target defines nu=((J0-J1)/J1)Omega_0 and uses theta double dot + nu^2(theta-theta0)=M_theta/J1 with M_theta=N_-y; mastery gives the full Euler reduction and assumptions.","Bocquet's primary author PDF Equation 20 and appendix give the nu-squared form; dimensional analysis also requires an inverse-time-squared restoring coefficient.",corrected_in_translation
O005-CORR-0025,O005-LEGA-V101-CH05,"record 48, red-tailed-hawk fit discussion",P3,"The text says 1.025 is close to the cited 95 percent interval [1.026, 1.029] without noting that it lies outside that interval.","The target states that 1.025 is nearby but slightly below and outside the quoted interval.","This preserves the numerical comparison while removing the implication of interval membership.",clarified_in_translation
O005-CORR-0026,O005-LEGA-V101-CH05,"record 48, discrete Malthus rate units",P1,"The net per-capita rate b-d=0.025 is labeled individuals per year.","The target gives b-d=0.025 year^-1.","Birth and death rates are per-capita rates; their difference has inverse-time units, not individuals per time.",corrected_in_translation
O005-CORR-0027,O005-LEGA-V101-CH05,"record 48, logistic discrete model",P2,"The symbol kappa is reused for a dimensionless multiplier and an inverse-population coefficient, and the nonlinear update omits its nonnegativity domain.","The target distinguishes the second kappa's units and requires the update multiplier to remain nonnegative on the modeled state range.","The two quantities have different dimensions, and a negative population update is inadmissible.",clarified_in_translation
O005-CORR-0028,O005-LEGA-V101-CH05,"record 48, fixed-point linear stability",P1,"A fixed point with derivative modulus one is called marginally stable.","The target calls it nonhyperbolic and states that linearization is inconclusive until nonlinear terms are examined.","Unit-modulus linearization alone does not determine nonlinear stability.",corrected_in_translation
O005-CORR-0029,O005-LEGA-V101-CH05,"record 48, logistic map at a=1",P2,"The zero fixed point is called marginally stable at a=1 without specifying the physical state space.","The target states that it is nonhyperbolic, attracting from the right on [0,1], and only one-sided attracting on the real line.","For f(x)=x(1-x), the quadratic term produces different behavior on the two sides of zero.",clarified_in_translation
O005-CORR-0030,O005-LEGA-V101-CH05,"record 48, Feigenbaum footnote",P3,"The cited author's surname is printed as Feigenbaurn.","The target spells Mitchell J. Feigenbaum correctly.","The linked author and publication metadata identify Feigenbaum.",corrected_in_translation
O005-CORR-0031,O005-LEGA-V101-CH05,"record 48, continuous-limit interpretation",P1,"The net rate R=b-d is described as a per-capita probability of growth even though it may be negative.","The target describes R delta-t as expected net per-capita change and states that it is not a probability when negative.","A probability cannot be negative; separate birth and death event probabilities would be required for that interpretation.",corrected_in_translation
O005-CORR-0032,O005-LEGA-V101-CH05,"record 48, continuous logistic solution",P1,"The displayed solution divides by M0 yet is asserted for all M0, and convergence to one is asserted for all initial values when lambda is positive.","The target restricts the displayed formula and convergence statement to positive M0 and handles M0=0 separately as the zero equilibrium.","The printed formula is undefined at zero, which is itself an exact equilibrium solution.",corrected_in_translation
O005-CORR-0033,O005-LEGA-V101-CH05,"record 48, Figure 5.7 caption",P2,"The caption points to nonexistent Equation 5.39.","The target points to Equation 5.6.","Figure 5.7 analyzes the autonomous equation numbered 5.6 in this chapter.",corrected_in_translation
O005-CORR-0034,O005-LEGA-V101-CH05,"record 48, one-dimensional phase-line rule",P1,"The text states that f changes sign at every fixed point.","The target instructs readers to inspect signs on both sides and notes that even-multiplicity zeros need not change sign.","A tangent zero can leave the sign unchanged and yields semistable or nonhyperbolic behavior.",corrected_in_translation
O005-CORR-0035,O005-LEGA-V101-CH05,"record 48, age-structured projection matrix",P1,"The matrix is called a Leslie matrix and said to be nonnegative without the step-size restrictions needed for nonnegative diagonal retention terms.","The target supplies the three nonnegativity inequalities and identifies the retained-stage form as a stage-class projection matrix of Lefkovitch type rather than a classical Leslie matrix.","The diagonal entries can be negative for large time steps, and classical Leslie matrices have a more specific age-class structure.",corrected_in_translation
O005-CORR-0036,O005-LEGA-V101-CH05,"record 48, LPA review citation",P2,"The prose calls the linked Journal of Theoretical Biology paper a 2004 article.","The target gives the publication year 1998.","The linked paper and its bibliographic citation are from 1998.",corrected_in_translation
O005-CORR-0037,O005-LEGA-V101-CH05,"record 48, chapter summary chaos claim",P1,"The summary says one- and two-dimensional continuous models cannot exhibit chaos without the autonomous-flow and regularity qualifications.","The target limits the claim to regular one-dimensional autonomous ODEs and two-dimensional autonomous planar flows with unique solutions.","The unqualified statement is false for broader continuous-time or nonautonomous model classes.",clarified_in_translation
O005-CORR-0038,O005-LEGA-V101-CH05,"record 48, Problems 1 and 2",P2,"The fitting interval and the intended discrete-continuous correspondence are underspecified, making the growth-factor and faster-or-slower comparisons ambiguous.","The target specifies the chapter's 1950-1995 fit interval and requires the student to distinguish forward-difference correspondence from exact sampling while using the former for the speed comparison.","Forward difference and exact flow sampling give different kappa-r relations.",clarified_in_translation
O005-CORR-0039,O005-LEGA-V101-CH05,"record 48, Problem 8",P2,"The stable-or-unstable binary does not cover the double equilibria at a=0 and a=4/27.","The target explicitly classifies the critical double equilibria as nonhyperbolic rather than forcing the binary labels.","At the saddle-node parameter values the derivative test is inconclusive.",clarified_in_translation
O005-CORR-0040,O005-LEGA-V101-CH05,"record 48, Problems 9 and 10",P1,"The McKendrick-von Foerster PDE is requested without initial age data or an age-zero birth boundary condition.","The target asks for the characteristic solution in terms of M(a,0)=M0(a) and M(0,t)=B(t).","Both data surfaces are required to determine a solution across the age-time domain.",clarified_in_translation
O005-CORR-0041,O005-LEGA-V101-CH05,"record 48, Problem 14",P1,"Parameter c is omitted from the parameter declaration, while d_J and d_A are only called positive despite appearing as per-step death probabilities.","The target declares b>0, c>0, and 0<=d_J,d_A<=1.","The exponential coefficient must be positive and probability parameters must lie in the unit interval.",corrected_in_translation
O005-CORR-0042,O005-LEGA-V101-CH05,"record 48, Problem 16 computation surface",P2,"The exercise depends on MATLAB or Excel although no code or data packet is bundled in the admitted source closure.","The target directs readers to the verified local Census packet and independently implemented open Python notebook.","The computational activity remains reproducible offline without proprietary software or live fetching.",resolved_by_open_reimplementation
O005-CORR-0043,O005-LEGA-V101-CH05,"record 48, Figures 5.1-5.7",P2,"Captions 5.3-5.7 reuse attachment_47, Figures 5.1-5.3 upscale 300-pixel rasters to 450 pixels, and three source figures retain English-only labels.","The target assigns unique caption IDs 43-47, uses native display dimensions, preserves all seven frozen rasters, and supplies self-contained Indonesian label adaptations for Figures 5.1, 5.2, and 5.7 with long descriptions and provenance.","Unique IDs prevent ambiguous anchors, native sizing avoids avoidable blur, and localized labels make the figures readable without changing plotted geometry.",corrected_and_accessibilized_in_translation
O005-CORR-0044,O005-LEGA-V101-CH05,"record 48, nonlinear discrete logistic multiplier",P1,"The factor 1+kappa(N_infinity-N(t)) is called a growth rate per time step.","The target calls the full expression the one-step growth multiplier and separately identifies kappa(N_infinity-N(t)) as the fractional growth per step.","The update multiplies N(t) by the full factor; only its excess over one is the fractional change.",corrected_in_translation
O005-CORR-0045,O005-LEGA-V101-CH05,"record 48, Problem 15 quoted degree notation",P3,"Three quoted 45-degree labels use a superscript letter o.","The target retains the quotations while replacing the letter with the degree sign.","The Unicode degree sign preserves the intended angle and avoids confusing the letter o with an angular unit.",corrected_typography_in_translation
O005-CORR-0046,O005-LEGA-V101-CH06,"record 53, predator-prey scaling paragraph",P1,"The symbol tau is first assigned the dimensional value 1/kappa as a characteristic time and then immediately redefined as the dimensionless time kappa t.","The target names the characteristic time t_0=1/kappa and reserves tau=kappa t for dimensionless time.","A quantity with units of time cannot also be the dimensionless independent variable in the same scaling definition.",corrected_in_translation
O005-CORR-0047,O005-LEGA-V101-CH06,"record 53, predator-prey dimensionless parameters",P2,"The text concludes that a and b are positive although the immediately preceding model explicitly permits beta=0 and later analyzes b=0.","The target states a>0 and b>=0.","Because b is proportional to beta, beta=0 implies b=0.",corrected_in_translation
O005-CORR-0048,O005-LEGA-V101-CH06,"record 53, equilibrium P1 at b=1",P1,"The text calls P1 a saddle for b<=1 while parenthetically noting a neutral direction at b=1; at b=1, P1 and P2 coincide and one eigenvalue is zero.","The target classifies P1 as a saddle only for 0<b<1 and treats b=1 as a coincident nonhyperbolic boundary case.","A fixed point with a zero eigenvalue is not a hyperbolic saddle.",corrected_in_translation
O005-CORR-0049,O005-LEGA-V101-CH06,"record 53, Jacobian at equilibrium P2",P1,"Three displayed evaluations reverse the coordinates of P2 and write J(1-b,1) despite the preceding definition P2=(1,1-b).","The target consistently evaluates J(1,1-b) in the matrix, determinant, and trace statements.","Direct substitution of P2 into J(f,s) fixes the argument order while leaving the displayed matrix entries unchanged.",corrected_in_translation
O005-CORR-0050,O005-LEGA-V101-CH06,"record 53, stability of equilibrium P2",P1,"The unconditional stable-node-or-stable-spiral statement includes the b=1 boundary where determinant zero and P2 is nonhyperbolic.","The target restricts the stable node or stable spiral classification to 0<b<1 and identifies b=1 as the degenerate boundary.","Positive determinant and negative trace, used by the source classification, hold only for the strict interior range.",corrected_in_translation
O005-CORR-0051,O005-LEGA-V101-CH06,"record 53, Lotka-Volterra orbit proof",P3,"The phrase existence of close trajectories is a typographic error in a discussion of closed phase-plane curves.","The target says closed trajectories.","The surrounding invariant-level-set argument and figure both concern closed orbits.",corrected_typography_in_translation
O005-CORR-0052,O005-LEGA-V101-CH06,"record 53, competing-species fixed-point list",P1,"The list repeats P2=(1,0), even though the subsequent analysis evaluates P2 at (0,1).","The target gives P2=(0,1).","Solving x(1-x-ay)=0 and y(1-y-bx)=0 yields the two axial equilibria (1,0) and (0,1).",corrected_in_translation
O005-CORR-0053,O005-LEGA-V101-CH06,"record 53, discriminant at equilibrium P3",P1,"The stated discriminant omits the term 4abc(a-1)(b-1)/(1-ab)^2.","The target gives T^2-4D={[(a-1)-c(b-1)]^2+4abc(a-1)(b-1)}/{(1-ab)^2}.","Direct expansion from the source's own T and D establishes the additional term; under the admitted same-sign conditions it is nonnegative and the real-eigenvalue conclusion still follows.",corrected_in_translation
O005-CORR-0054,O005-LEGA-V101-CH06,"record 53, coexistence condition",P1,"The text infers coexistence for a<=1 and b<=1 while the defined interior equilibrium and hyperbolic stability require strict inequalities; equality is a boundary degeneracy.","The target states a<1 and b<1 for positive stable coexistence and labels equality as a degenerate boundary case.","At a=1 or b=1 the interior equilibrium meets an axial equilibrium and the strict first-quadrant condition fails.",corrected_in_translation
O005-CORR-0055,O005-LEGA-V101-CH06,"record 53, Figure 6.1 description",P1,"The long description calls the origin an unstable source although the chapter's correct Jacobian calculation gives eigenvalues a and -1.","The target long description calls the origin a saddle.","Eigenvalues of opposite sign classify the origin as a saddle.",corrected_accessibility_description
O005-CORR-0056,O005-LEGA-V101-CH06,"record 53, Figure 6.2 description",P2,"The long description calls the undamped family of closed Lotka-Volterra orbits a periodic stable system, which can imply asymptotic stability.","The target describes neutrally stable closed orbits without damping.","Nearby trajectories remain on distinct invariant closed curves and do not converge to the center.",clarified_accessibility_description
O005-CORR-0057,O005-LEGA-V101-CH06,"record 53, Problem 1",P1,"The prose does not specify a nutrient-consumption law, biomass-conversion law, or nutrient removal mechanism, so it does not determine a unique continuous-time model.","The target explicitly asks the learner to state assumptions and provides the simplest mass-action uptake and conversion closure as the reference interpretation.","Several inequivalent models satisfy the prose; declaring the closure makes the exercise assessable without pretending it was uniquely implied.",clarified_in_translation
O005-CORR-0058,O005-LEGA-V101-CH06,"record 53, Problems 3 and 4 computation surface",P2,"The exercises point to the MathWorks Phase Plane App or equivalent software, while no executable computation surface is bundled with the admitted source closure.","The target points to an independently implemented, verified local Python phase-plane notebook as the open equivalent.","The mathematical activity remains reproducible offline without importing proprietary application code.",resolved_by_open_reimplementation
O005-CORR-0059,O005-LEGA-V101-CH06,"record 53, epsilon=-1 competition dynamics",P1,"The prose and Figure 6.4 description say one species goes extinct without excluding initial conditions on the stable manifold of the interior saddle P3.","The target states the extinction outcome for generic interior initial conditions and identifies the stable manifold of P3 as the basin boundary and exact exception.","Trajectories started on that one-dimensional invariant manifold converge to P3 rather than either stable axial equilibrium.",clarified_in_translation
O005-CORR-0060,O005-LEGA-V101-CH06,"record 53, Figure 6.4 anchor",P2,"The Fig_6.4 anchor occurs after the combined Figure 6.3/6.4 caption block, so the long-description return link lands below the intended figure.","The target relocates Fig_6.4 to the second image and retains a uniquely named post-caption witness anchor for topology replay.","The return link now lands on Figure 6.4 itself while source order and auditability remain explicit.",corrected_accessibility_navigation
O005-CORR-0061,O005-LEGA-V101-CH06,"record 53, predator interaction term",P1,"The product delta F S is called a linear term, although it is bilinear in the two state variables.","The target calls delta F S a bilinear interaction term and notes that its per-capita contribution is linear in prey abundance.","The distinction follows directly from the algebra of the predator equation and prevents conflating a bilinear mass-action term with a linear state term.",corrected_in_translation
O005-CORR-0062,O005-LEGA-V101-CH06,"record 53, global convergence to P2",P1,"The text presents convergence of every positive trajectory to P2 as a consequence of the preceding local Jacobian analysis.","The target separates local stability from the additional global argument requiring boundedness, exclusion of periodic orbits, and limit-set analysis.","Linearization alone controls only a neighborhood of the equilibrium; the stated basin-wide conclusion needs a global theorem.",clarified_in_translation
O005-CORR-0063,O005-LEGA-V101-CH06,"record 53, Lotka-Volterra invariant level",P1,"The integration constant zeta is called nonnegative while the claimed closed orbit lies strictly in the positive quadrant; zeta=0 is a degenerate boundary level.","The target states zeta>0 for interior trajectories and identifies the zero level as boundary-degenerate rather than a closed interior orbit.","Both factors f exp(-f) and (s exp(-s))^a are strictly positive when f,s>0.",corrected_in_translation
O005-CORR-0064,O005-LEGA-V101-CH07,"record 57, viral-infection footnote",P3,"The footnote's author list spells S. Bonhoeffer as S. Bonhoe er.","The target restores the surname Bonhoeffer.","The cited PNAS article's author list gives Sebastian Bonhoeffer.",corrected_typography_in_translation
O005-CORR-0065,O005-LEGA-V101-CH07,"record 57, alternative viral-model scaling",P2,"The established state X is described as uninfected cells and then called normal cells twice, which needlessly changes the biological category.","The target consistently says uninfected cells.","Normal and uninfected are not synonymous in a viral-dynamics model; the state definition controls the later scaling discussion.",clarified_in_translation
O005-CORR-0066,O005-LEGA-V101-CH07,"record 57, MSEIRS ordering",P2,"The source says every rightward compartment transition occurs under the effect of the disease, although M-to-S and R-to-S are immunity-loss transitions.","The target says that the ordering represents infection progression or changes in immune status.","The stated MSEIRS topology itself includes transitions that are not caused by active disease.",clarified_in_translation
O005-CORR-0067,O005-LEGA-V101-CH07,"record 57, passive-immunity class M",P2,"The source characterizes newborns with passive immunity as having mothers who were infected, although current maternal infection is neither necessary nor the defining condition.","The target describes mothers who have immunity and transfer antibodies through the placenta.","Passive maternal immunity depends on transferred maternal antibodies rather than requiring active infection at birth.",corrected_in_translation
O005-CORR-0068,O005-LEGA-V101-CH07,"record 57, exposed class E",P1,"Class E is defined merely as contact with an infected person.","The target defines E as infected individuals in the latent, not-yet-infectious state.","In the MSEIR transition structure, exposure must represent infection before infectiousness; contact alone does not establish compartment membership.",corrected_in_translation
O005-CORR-0069,O005-LEGA-V101-CH07,"record 57, return from class R",P1,"The text allows individuals in R to become susceptible again even though its preceding definition also places deceased individuals in R.","The target restricts the R-to-S statement to recovered individuals.","Deceased members cannot return to the susceptible living population; only an immunity-losing recovered subgroup can do so.",corrected_in_translation
O005-CORR-0070,O005-LEGA-V101-CH07,"record 57, classic SIR recovery rate",P1,"The source permits beta=0 immediately before defining delta=beta/alpha>0, the infectious time 1/beta, and R_0=alpha/beta.","The target requires beta>0 for this analysis.","The subsequent scaling and finite infectious-period quantities are undefined or contradictory at beta=0.",corrected_in_translation
O005-CORR-0071,O005-LEGA-V101-CH07,"record 57, contact number and R_0",P1,"The source identifies alpha/beta with the basic reproduction number without stating the fully susceptible reference condition.","The target says the equality applies when infection is introduced into a wholly susceptible population.","For a partially susceptible initial population the effective initial reproduction factor includes the susceptible fraction.",clarified_in_translation
O005-CORR-0072,O005-LEGA-V101-CH07,"record 57, invariant SIR triangle",P2,"The text says s and i remain positive although the defined triangle includes s=0 and i=0 and the boundary analysis preserves those zero values.","The target says nonnegative.","The invariant set is closed and includes both coordinate-axis boundaries.",corrected_in_translation
O005-CORR-0073,O005-LEGA-V101-CH07,"record 57, classic SIR long-time limit",P2,"The phase-plane discussion of the dimensionless system writes lim as t tends to infinity after defining tau as its independent variable.","The target writes the limit as tau tends to infinity.","System (7.4) is explicitly differentiated with respect to tau.",corrected_in_translation
O005-CORR-0074,O005-LEGA-V101-CH07,"record 57, endemic-model demographic rates",P1,"The subsequent isolated-equilibrium and stability analysis silently requires positive birth and death rates, but the source does not state this before setting mu=nu.","The target explicitly assumes the two per-capita rates are positive.","At eta=0 the asserted equilibrium structure degenerates and the later classification no longer applies as written.",clarified_in_translation
O005-CORR-0075,O005-LEGA-V101-CH07,"record 57, endemic threshold boundary",P1,"The source gives P_2 in T for eta+delta<=1 but analyzes only the strict greater-than and less-than cases.","The target states that at eta+delta=1, P_2=P_1=(1,0) and the coincident equilibrium is nonhyperbolic with a zero eigenvalue.","Direct substitution and the displayed Jacobian establish the omitted threshold case.",corrected_in_translation
O005-CORR-0076,O005-LEGA-V101-CH07,"record 57, global endemic-model convergence",P1,"Basin-wide convergence is asserted from local Jacobian classifications alone, and the source does not distinguish the invariant disease-free boundary in the endemic case.","The target separates local stability from global arguments: a comparison inequality proves convergence when eta+delta>1, while invariance plus a Bendixson-Dulac exclusion proves interior convergence to P_2 when eta+delta<1; the disease-free boundary is stated separately.","Linearization is local; the displayed planar system admits the added comparison and Dulac calculations needed for the stated global conclusions.",clarified_in_translation
O005-CORR-0077,O005-LEGA-V101-CH07,"record 57, Figure 7.3 parameters",P1,"The prose gives eta=0.2 and delta=0.1, while the caption and plotted interior equilibrium correspond to eta=0.1 and delta=0.2.","The target prose uses eta=0.1 and delta=0.2 consistently with the caption and frozen image.","The plotted point is P_2=(0.3,0.1(0.7)/0.3), matching the caption rather than the swapped prose values.",corrected_in_translation
O005-CORR-0078,O005-LEGA-V101-CH07,"record 57, Figure 7.2 and 7.3 descriptions",P2,"Two phase-space inequalities are written as plain dollar-delimited strings rather than Pressbooks TeX and would remain raw reader text.","The target encodes both as Pressbooks TeX expressions.","The neighboring Figure 7.1 description uses the correct $latex form for the same inequality.",corrected_accessibility_math
O005-CORR-0079,O005-LEGA-V101-CH07,"record 57, Figures 7.1-7.3 alternative text",P2,"All three figures use the same generic alternative text 'Phase portrait. Long description available.'","The target supplies distinct concise Indonesian alternatives identifying the classic SIR, stable disease-free endemic, and stable endemic portraits while retaining the long descriptions.","Distinct alternatives make the purpose of each linked image identifiable without changing the frozen rasters.",accessibilized_in_translation
O005-CORR-0080,O005-LEGA-V101-CH07,"record 57, Problem 5",P1,"The prompt requests an MSEIR system without specifying maternal-immunity loss, infection incidence, latent progression, recovery, or how births enter M and S, so no unique system follows.","The target requires learners to state assumptions and define every transition rate; the mastery and notebook give one explicitly labeled reference closure with a passively immune newborn fraction.","Multiple inequivalent MSEIR systems satisfy the original prose, so an assessable solution must declare a closure rather than silently attribute one to the source.",clarified_in_translation
O005-CORR-0081,O005-LEGA-V101-CH08,"record 62, Brusselator historical footnote",P3,"The bibliography spells physicist Paul Glansdorff's surname as Glansdor.","The target restores Glansdorff, consistently with the chapter's adjacent citation.","The source prose and the cited book's authorship identify Paul Glansdorff.",corrected_typography_in_translation
O005-CORR-0082,O005-LEGA-V101-CH08,"record 62, Oregonator attribution",P3,"The prose names R.J. Fields, while the chapter's own citation and cited 1974 article name R.J. Field.","The target uses R.J. Field.","The accompanying primary-article citation establishes the singular surname.",corrected_typography_in_translation
